TF	Target	Experimentos
AT1G18330	AT2G20810	1/2
AT1G28470	AT2G20810	1/2
AT1G79580	AT2G20810	2/2
AT1G27730	AT2G20810	2/2
AT4G31800	AT2G20810	2/2
AT3G50260	AT2G20810	2/2
AT5G51990	AT2G20810	2/2
AT1G19000	AT2G20810	1/2
AT1G77200	AT2G20810	1/2
AT2G46770	AT2G20810	1/2
AT4G10350	AT2G20810	1/2
AT1G19210	AT2G20810	2/2
AT5G13180	AT2G20810	2/2
AT1G19850	AT2G20810	1/1
AT2G22540	AT2G20810	1/2
AT5G67190	AT2G20810	1/2
AT3G10113	AT2G20810	1/1
AT4G25490	AT2G20810	2/2
AT1G12630	AT2G20810	2/2
AT5G58900	AT2G20810	1/1
AT5G60130	AT2G20810	1/1
AT2G46270	AT2G20810	1/2
AT4G01540	AT2G20810	1/2
AT5G47390	AT2G20810	1/1
AT4G16750	AT2G20810	1/1
AT1G31140	AT2G20810	1/1
AT4G25470	AT2G20810	1/2
AT2G23340	AT2G20810	1/2
AT4G25480	AT2G20810	2/2
AT1G68320	AT2G20810	1/1
AT3G60580	AT2G20810	1/1
AT4G00250	AT2G20810	1/1
AT2G31220	AT2G20810	1/2
AT1G74840	AT2G20810	1/1
AT1G08010	AT2G20810	1/1
AT5G13790	AT2G20810	1/1
AT3G24120	AT2G23080	1/2
AT4G36740	AT2G23080	2/2
AT5G65310	AT2G23080	2/2
AT2G42200	AT2G23080	2/2
AT5G13080	AT2G23080	2/2
AT1G33240	AT2G23080	2/2
AT2G23320	AT2G23080	1/2
AT3G15270	AT2G23080	2/2
AT2G20110	AT2G23080	1/2
AT2G01060	AT2G23080	1/2
AT1G49560	AT2G23080	2/2
AT4G14770	AT2G23080	1/2
AT2G40260	AT2G23080	1/2
AT5G06100	AT2G23080	1/1
AT5G56110	AT2G23080	1/2
AT4G23550	AT2G23080	1/2
AT1G74650	AT2G23080	1/1
AT3G12720	AT2G23080	1/1
AT3G57920	AT2G23080	1/1
AT1G76890	AT2G23080	1/2
AT2G18380	AT2G23080	1/1
AT1G25550	AT2G23080	2/2
AT2G40620	AT2G23080	1/2
AT2G47070	AT2G23080	2/2
AT4G18170	AT2G23080	1/1
AT1G68670	AT2G23080	2/2
AT5G62000	AT2G23080	1/1
AT5G47660	AT2G23080	1/1
AT2G46680	AT2G23080	1/1
AT1G51140	AT2G23080	1/1
AT2G22430	AT2G23080	1/1
AT5G46830	AT2G23080	1/1
AT1G20910	AT2G23080	1/1
AT1G35460	AT2G23080	1/1
AT1G70920	AT2G23080	1/2
AT5G22990	AT2G23080	1/1
AT2G15740	AT2G23080	1/1
AT3G24120	AT2G25169	2/2
AT5G45580	AT2G25169	1/2
AT1G79580	AT2G25169	1/2
AT4G01250	AT2G25169	1/2
AT1G27730	AT2G25169	2/2
AT1G64620	AT2G25169	1/2
AT4G31800	AT2G25169	2/2
AT3G50260	AT2G25169	1/2
AT1G77200	AT2G25169	1/2
AT3G15270	AT2G25169	1/2
AT2G45410	AT2G25169	2/2
AT2G20110	AT2G25169	1/2
AT2G01060	AT2G25169	1/2
AT1G19850	AT2G25169	1/1
AT5G46350	AT2G25169	1/2
AT5G16820	AT2G25169	2/2
AT2G30250	AT2G25169	1/2
AT4G28500	AT2G25169	1/2
AT2G40260	AT2G25169	1/2
AT3G18400	AT2G25169	1/2
AT2G45420	AT2G25169	1/2
AT1G72740	AT2G25169	1/2
AT3G22760	AT2G25169	1/2
AT3G04060	AT2G25169	1/2
AT4G23550	AT2G25169	1/2
AT1G09540	AT2G25169	1/2
AT5G60130	AT2G25169	1/1
AT1G02230	AT2G25169	2/2
AT5G65210	AT2G25169	1/2
AT3G16280	AT2G25169	1/1
AT3G01530	AT2G25169	1/1
AT3G60580	AT2G25169	1/1
AT1G51220	AT2G25169	1/2
AT1G25340	AT2G25169	1/1
AT3G56400	AT2G25169	1/1
AT2G33550	AT2G25169	1/1
AT1G80840	AT2G25169	1/1
AT1G62300	AT2G25169	1/1
AT4G11660	AT2G25169	1/2
AT4G22070	AT2G25169	1/1
AT3G26790	AT2G25169	1/1
AT4G36740	AT2G25344	2/2
AT5G65310	AT2G25344	2/2
AT1G79580	AT2G25344	1/2
AT5G65410	AT2G25344	2/2
AT5G39760	AT2G25344	2/2
AT4G01250	AT2G25344	2/2
AT5G03790	AT2G25344	2/2
AT1G49480	AT2G25344	1/2
AT5G13080	AT2G25344	1/2
AT5G56840	AT2G25344	1/2
AT3G28920	AT2G25344	1/2
AT5G46350	AT2G25344	1/2
AT3G50060	AT2G25344	1/1
AT5G52830	AT2G25344	1/2
AT2G40260	AT2G25344	1/2
AT2G18550	AT2G25344	2/2
AT5G41570	AT2G25344	1/2
AT5G06100	AT2G25344	1/1
